Number, Name, HP, Attack, Defence, SpecialAttack, SpecialDefence, Speed
721: Volcanion, 80,110, 120,120,130,90,70
720: HoopaHoopa Unbound, 80,160, 60,60,170,130,80
720: HoopaHoopa Confined, 80,110, 60,60,150,130,70
719: DiancieMega Diancie, 50,160, 110,110,160,110,110
719: Diancie, 50,100, 150,150,100,150,50
718: Zygarde50% Forme, 108,100, 121,121,81,95,95
717: Yveltal, 126,131, 95,95,131,98,99
716: Xerneas, 126,131, 95,95,131,98,99
715: Noivern, 85,70, 80,80,97,80,123
714: Noibat, 40,30, 35,35,45,40,55
713: Avalugg, 95,117, 184,184,44,46,28
712: Bergmite, 55,69, 85,85,32,35,28
711: GourgeistSuper Size, 85,100, 122,122,58,75,54
711: GourgeistLarge Size, 75,95, 122,122,58,75,69
711: GourgeistSmall Size, 55,85, 122,122,58,75,99
711: GourgeistAverage Size, 65,90, 122,122,58,75,84
710: PumpkabooSuper Size, 59,66, 70,70,44,55,41
710: PumpkabooLarge Size, 54,66, 70,70,44,55,46
710: PumpkabooSmall Size, 44,66, 70,70,44,55,56
710: PumpkabooAverage Size, 49,66, 70,70,44,55,51
709: Trevenant, 85,110, 76,76,65,82,56
708: Phantump, 43,70, 48,48,50,60,38
707: Klefki, 57,80, 91,91,80,87,75
706: Goodra, 90,100, 70,70,110,150,80
705: Sliggoo, 68,75, 53,53,83,113,60
704: Goomy, 45,50, 35,35,55,75,40
703: Carbink, 50,50, 150,150,50,150,50
702: Dedenne, 67,58, 57,57,81,67,101
701: Hawlucha, 78,92, 75,75,74,63,118
700: Sylveon, 95,65, 65,65,110,130,60
699: Aurorus, 123,77, 72,72,99,92,58
698: Amaura, 77,59, 50,50,67,63,46
697: Tyrantrum, 82,121, 119,119,69,59,71
696: Tyrunt, 58,89, 77,77,45,45,48
695: Heliolisk, 62,55, 52,52,109,94,109
694: Helioptile, 44,38, 33,33,61,43,70
693: Clawitzer, 71,73, 88,88,120,89,59
692: Clauncher, 50,53, 62,62,58,63,44
691: Dragalge, 65,75, 90,90,97,123,44
690: Skrelp, 50,60, 60,60,60,60,30
689: Barbaracle, 72,105, 115,115,54,86,68
688: Binacle, 42,52, 67,67,39,56,50
687: Malamar, 86,92, 88,88,68,75,73
686: Inkay, 53,54, 53,53,37,46,45
685: Slurpuff, 82,80, 86,86,85,75,72
684: Swirlix, 62,48, 66,66,59,57,49
683: Aromatisse, 101,72, 72,72,99,89,29
682: Spritzee, 78,52, 60,60,63,65,23
681: AegislashShield Forme, 60,50, 150,150,50,150,60
681: AegislashBlade Forme, 60,150, 50,50,150,50,60
680: Doublade, 59,110, 150,150,45,49,35
679: Honedge, 45,80, 100,100,35,37,28
678: MeowsticFemale, 74,48, 76,76,83,81,104
678: MeowsticMale, 74,48, 76,76,83,81,104
677: Espurr, 62,48, 54,54,63,60,68
676: Furfrou, 75,80, 60,60,65,90,102
675: Pangoro, 95,124, 78,78,69,71,58
674: Pancham, 67,82, 62,62,46,48,43
673: Gogoat, 123,100, 62,62,97,81,68
672: Skiddo, 66,65, 48,48,62,57,52
671: Florges, 78,65, 68,68,112,154,75
670: Floette, 54,45, 47,47,75,98,52
669: Flabébé, 44,38, 39,39,61,79,42
668: Pyroar, 86,68, 72,72,109,66,106
667: Litleo, 62,50, 58,58,73,54,72
666: Vivillon, 80,52, 50,50,90,50,89
665: Spewpa, 45,22, 60,60,27,30,29
664: Scatterbug, 38,35, 40,40,27,25,35
663: Talonflame, 78,81, 71,71,74,69,126
